started_at	ended_at	duration_seconds	shell	exit_code	cwd_before	cwd_after	command
2026-08-29T14:04:39.424+07:00	2026-08-29T14:04:39.429+07:00	0.004759	cmd	0	C:\Users\scfuser\Desktop\groundtruth_capture	Z:\	Z:
2026-08-29T14:04:48.019+07:00	2026-08-29T14:04:48.026+07:00	0.007353	cmd	0	Z:\	Z:\	dir
2026-08-29T14:04:50.616+07:00	2026-08-29T14:04:50.620+07:00	0.003953	cmd	0	Z:\	Z:\project	cd project
2026-08-29T14:04:52.594+07:00	2026-08-29T14:04:52.602+07:00	0.008391	cmd	0	Z:\project	Z:\project	dir
2026-08-29T14:04:56.187+07:00	2026-08-29T14:04:56.191+07:00	0.004683	cmd	0	Z:\project	Z:\project\basic_malware	cd basic_malware
2026-08-29T14:04:57.905+07:00	2026-08-29T14:04:57.912+07:00	0.007037	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	dir
2026-08-29T14:05:04.886+07:00	2026-08-29T14:05:04.916+07:00	0.029591	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	more test.py
2026-08-29T14:05:15.986+07:00	2026-08-29T14:05:15.994+07:00	0.007699	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo import sys > test.py
2026-08-29T14:05:18.274+07:00	2026-08-29T14:05:18.298+07:00	0.023463	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	more test.py
2026-08-29T14:05:29.494+07:00	2026-08-29T14:05:29.510+07:00	0.016231	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo from pathlib import Path >> test.py
2026-08-29T14:05:33.184+07:00	2026-08-29T14:05:33.199+07:00	0.015222	cmd	1	Z:\project\basic_malware	Z:\project\basic_malware	more test.opy
2026-08-29T14:05:38.096+07:00	2026-08-29T14:05:38.129+07:00	0.032834	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	more test.py
2026-08-29T14:06:00.694+07:00	2026-08-29T14:06:00.715+07:00	0.020960	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo path = Path^(sys.argv[1]^) >> test.py
2026-08-29T14:06:58.983+07:00	2026-08-29T14:06:59.024+07:00	0.040453	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo with path.open^("a", encoding="utf-8"^) as file: >> test.py
2026-08-29T14:07:56.854+07:00	2026-08-29T14:07:56.904+07:00	0.049855	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo \tfile.write^("Noi dung duoc them tu Python\n"^) >> test.py
2026-08-29T14:08:11.920+07:00	2026-08-29T14:08:11.950+07:00	0.029225	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo print^("updated:" path^) >> test.py
2026-08-29T14:08:18.738+07:00	2026-08-29T14:08:18.765+07:00	0.027470	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	more test.py
2026-08-29T14:09:17.363+07:00	2026-08-29T14:09:17.379+07:00	0.016406	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	copy test.py C:\Users\scfuser\Desktop\DEV\project
2026-08-29T14:12:31.754+07:00	2026-08-29T14:12:31.754+07:00	0.010719	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	dir
2026-08-29T14:12:34.770+07:00	2026-08-29T14:12:34.770+07:00	0.005659	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	del test.py
2026-08-29T14:12:36.223+07:00	2026-08-29T14:12:36.223+07:00	0.006915	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	dir
2026-08-29T14:13:07.254+07:00	2026-08-29T14:13:07.269+07:00	0.012741	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo import sys > newcode.py
2026-08-29T14:13:27.082+07:00	2026-08-29T14:13:27.097+07:00	0.015251	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo from pathlib import Path >> newcode.py
2026-08-29T14:13:49.176+07:00	2026-08-29T14:13:49.191+07:00	0.007874	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	path = Path^(sys.argv[1]^) >> newcode.py
2026-08-29T14:13:57.238+07:00	2026-08-29T14:13:57.254+07:00	0.005932	cmd	9009	Z:\project\basic_malware	Z:\project\basic_malware	more newcode.py
2026-08-29T14:14:05.520+07:00	2026-08-29T14:14:05.520+07:00	0.004603	cmd	9009	Z:\project\basic_malware	Z:\project\basic_malware	more newcode.py
2026-08-29T14:14:10.035+07:00	2026-08-29T14:14:10.035+07:00	0.007058	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	type newcode.py
2026-08-29T14:14:39.519+07:00	2026-08-29T14:14:39.535+07:00	0.011925	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	echo path = Path^(sys.argv[1]^) >> newcode.py
2026-08-29T14:14:43.957+07:00	2026-08-29T14:14:43.957+07:00	0.004713	cmd	9009	Z:\project\basic_malware	Z:\project\basic_malware	more newcode.py
2026-08-29T14:14:55.738+07:00	2026-08-29T14:14:55.754+07:00	0.005773	cmd	0	Z:\project\basic_malware	Z:\project\basic_malware	type newcode.py
